0000 : add byte ptr [rax], al
0001 : add byte ptr [rcx], al
0002 : add byte ptr [rdx], al
0003 : add byte ptr [rbx], al
0006 : add byte ptr [rsi], al
0007 : add byte ptr [rdi], al
0008 : add byte ptr [rax], cl
0009 : add byte ptr [rcx], cl
000a : add byte ptr [rdx], cl
000b : add byte ptr [rbx], cl
000e : add byte ptr [rsi], cl
000f : add byte ptr [rdi], cl
0010 : add byte ptr [rax], dl
0011 : add byte ptr [rcx], dl
0012 : add byte ptr [rdx], dl
0013 : add byte ptr [rbx], dl
0016 : add byte ptr [rsi], dl
0017 : add byte ptr [rdi], dl
0018 : add byte ptr [rax], bl
0019 : add byte ptr [rcx], bl
001a : add byte ptr [rdx], bl
001b : add byte ptr [rbx], bl
001e : add byte ptr [rsi], bl
001f : add byte ptr [rdi], bl
0020 : add byte ptr [rax], ah
0021 : add byte ptr [rcx], ah
0022 : add byte ptr [rdx], ah
0023 : add byte ptr [rbx], ah
0026 : add byte ptr [rsi], ah
0027 : add byte ptr [rdi], ah
0028 : add byte ptr [rax], ch
0029 : add byte ptr [rcx], ch
002a : add byte ptr [rdx], ch
002b : add byte ptr [rbx], ch
002e : add byte ptr [rsi], ch
002f : add byte ptr [rdi], ch
0030 : add byte ptr [rax], dh
0031 : add byte ptr [rcx], dh
0032 : add byte ptr [rdx], dh
0033 : add byte ptr [rbx], dh
0036 : add byte ptr [rsi], dh
0037 : add byte ptr [rdi], dh
0038 : add byte ptr [rax], bh
0039 : add byte ptr [rcx], bh
003a : add byte ptr [rdx], bh
003b : add byte ptr [rbx], bh
003e : add byte ptr [rsi], bh
003f : add byte ptr [rdi], bh
00c0 : add al, al
00c1 : add cl, al
00c2 : add dl, al
00c3 : add bl, al
00c4 : add ah, al
00c5 : add ch, al
00c6 : add dh, al
00c7 : add bh, al
00c8 : add al, cl
00c9 : add cl, cl
00ca : add dl, cl
00cb : add bl, cl
00cc : add ah, cl
00cd : add ch, cl
00ce : add dh, cl
00cf : add bh, cl
00d0 : add al, dl
00d1 : add cl, dl
00d2 : add dl, dl
00d3 : add bl, dl
00d4 : add ah, dl
00d5 : add ch, dl
00d6 : add dh, dl
00d7 : add bh, dl
00d8 : add al, bl
00d9 : add cl, bl
00da : add dl, bl
00db : add bl, bl
00dc : add ah, bl
00dd : add ch, bl
00de : add dh, bl
00df : add bh, bl
00e0 : add al, ah
00e1 : add cl, ah
00e2 : add dl, ah
00e3 : add bl, ah
00e4 : add ah, ah
00e5 : add ch, ah
00e6 : add dh, ah
00e7 : add bh, ah
00e8 : add al, ch
00e9 : add cl, ch
00ea : add dl, ch
00eb : add bl, ch
00ec : add ah, ch
00ed : add ch, ch
00ee : add dh, ch
00ef : add bh, ch
00f0 : add al, dh
00f1 : add cl, dh
00f2 : add dl, dh
00f3 : add bl, dh
00f4 : add ah, dh
00f5 : add ch, dh
00f6 : add dh, dh
00f7 : add bh, dh
00f8 : add al, bh
00f9 : add cl, bh
00fa : add dl, bh
00fb : add bl, bh
00fc : add ah, bh
00fd : add ch, bh
00fe : add dh, bh
00ff : add bh, bh
0100 : add dword ptr [rax], eax
0101 : add dword ptr [rcx], eax
0102 : add dword ptr [rdx], eax
0103 : add dword ptr [rbx], eax
0106 : add dword ptr [rsi], eax
0107 : add dword ptr [rdi], eax
0108 : add dword ptr [rax], ecx
0109 : add dword ptr [rcx], ecx
010a : add dword ptr [rdx], ecx
