Hexa,Instruction,Type
50,push rax,1-byte
51,push rcx,1-byte
52,push rdx,1-byte
53,push rbx,1-byte
54,push rsp,1-byte
55,push rbp,1-byte
56,push rsi,1-byte
57,push rdi,1-byte
58,pop rax,1-byte
59,pop rcx,1-byte
5a,pop rdx,1-byte
5b,pop rbx,1-byte
5c,pop rsp,1-byte
5d,pop rbp,1-byte
5e,pop rsi,1-byte
5f,pop rdi,1-byte
6c,"insb byte ptr [rdi], dx",1-byte
6d,"insd dword ptr [rdi], dx",1-byte
6e,"outsb dx, byte ptr [rsi]",1-byte
6f,"outsd dx, dword ptr [rsi]",1-byte
90,nop,1-byte
91,"xchg ecx, eax",1-byte
92,"xchg edx, eax",1-byte
93,"xchg ebx, eax",1-byte
94,"xchg esp, eax",1-byte
95,"xchg ebp, eax",1-byte
96,"xchg esi, eax",1-byte
97,"xchg edi, eax",1-byte
98,cwde,1-byte
99,cdq,1-byte
9b,wait,1-byte
9c,pushfq,1-byte
9d,popfq,1-byte
9e,sahf,1-byte
9f,lahf,1-byte
a4,"movsb byte ptr [rdi], byte ptr [rsi]",1-byte
a5,"movsd dword ptr [rdi], dword ptr [rsi]",1-byte
a6,"cmpsb byte ptr [rsi], byte ptr [rdi]",1-byte
a7,"cmpsd dword ptr [rsi], dword ptr [rdi]",1-byte
aa,"stosb byte ptr [rdi], al",1-byte
ab,"stosd dword ptr [rdi], eax",1-byte
ac,"lodsb al, byte ptr [rsi]",1-byte
ad,"lodsd eax, dword ptr [rsi]",1-byte
ae,"scasb al, byte ptr [rdi]",1-byte
af,"scasd eax, dword ptr [rdi]",1-byte
c3,ret,1-byte
c9,leave,1-byte
cb,retf,1-byte
cc,int3,1-byte
cf,iretd,1-byte
d7,xlatb,1-byte
ec,"in al, dx",1-byte
ed,"in eax, dx",1-byte
ee,"out dx, al",1-byte
ef,"out dx, eax",1-byte
f1,int1,1-byte
f4,hlt,1-byte
f5,cmc,1-byte
f8,clc,1-byte
f9,stc,1-byte
fa,cli,1-byte
fb,sti,1-byte
fc,cld,1-byte
fd,std,1-byte
0000,"add byte ptr [rax], al",2-byte
0001,"add byte ptr [rcx], al",2-byte
0002,"add byte ptr [rdx], al",2-byte
0003,"add byte ptr [rbx], al",2-byte
0006,"add byte ptr [rsi], al",2-byte
0007,"add byte ptr [rdi], al",2-byte
0008,"add byte ptr [rax], cl",2-byte
0009,"add byte ptr [rcx], cl",2-byte
000a,"add byte ptr [rdx], cl",2-byte
000b,"add byte ptr [rbx], cl",2-byte
000e,"add byte ptr [rsi], cl",2-byte
000f,"add byte ptr [rdi], cl",2-byte
0010,"add byte ptr [rax], dl",2-byte
0011,"add byte ptr [rcx], dl",2-byte
0012,"add byte ptr [rdx], dl",2-byte
0013,"add byte ptr [rbx], dl",2-byte
0016,"add byte ptr [rsi], dl",2-byte
0017,"add byte ptr [rdi], dl",2-byte
0018,"add byte ptr [rax], bl",2-byte
0019,"add byte ptr [rcx], bl",2-byte
001a,"add byte ptr [rdx], bl",2-byte
001b,"add byte ptr [rbx], bl",2-byte
001e,"add byte ptr [rsi], bl",2-byte
001f,"add byte ptr [rdi], bl",2-byte
0020,"add byte ptr [rax], ah",2-byte
0021,"add byte ptr [rcx], ah",2-byte
0022,"add byte ptr [rdx], ah",2-byte
0023,"add byte ptr [rbx], ah",2-byte
0026,"add byte ptr [rsi], ah",2-byte
0027,"add byte ptr [rdi], ah",2-byte
0028,"add byte ptr [rax], ch",2-byte
0029,"add byte ptr [rcx], ch",2-byte
002a,"add byte ptr [rdx], ch",2-byte
002b,"add byte ptr [rbx], ch",2-byte
002e,"add byte ptr [rsi], ch",2-byte
002f,"add byte ptr [rdi], ch",2-byte
0030,"add byte ptr [rax], dh",2-byte
0031,"add byte ptr [rcx], dh",2-byte
0032,"add byte ptr [rdx], dh",2-byte
0033,"add byte ptr [rbx], dh",2-byte
0036,"add byte ptr [rsi], dh",2-byte
0037,"add byte ptr [rdi], dh",2-byte
0038,"add byte ptr [rax], bh",2-byte
0039,"add byte ptr [rcx], bh",2-byte
003a,"add byte ptr [rdx], bh",2-byte
003b,"add byte ptr [rbx], bh",2-byte
003e,"add byte ptr [rsi], bh",2-byte
003f,"add byte ptr [rdi], bh",2-byte
00c0,"add al, al",2-byte
00c1,"add cl, al",2-byte
00c2,"add dl, al",2-byte
00c3,"add bl, al",2-byte
00c4,"add ah, al",2-byte
00c5,"add ch, al",2-byte
00c6,"add dh, al",2-byte
00c7,"add bh, al",2-byte
00c8,"add al, cl",2-byte
00c9,"add cl, cl",2-byte
00ca,"add dl, cl",2-byte
00cb,"add bl, cl",2-byte
00cc,"add ah, cl",2-byte
00cd,"add ch, cl",2-byte
00ce,"add dh, cl",2-byte
00cf,"add bh, cl",2-byte
00d0,"add al, dl",2-byte
00d1,"add cl, dl",2-byte
00d2,"add dl, dl",2-byte
00d3,"add bl, dl",2-byte
00d4,"add ah, dl",2-byte
00d5,"add ch, dl",2-byte
00d6,"add dh, dl",2-byte
00d7,"add bh, dl",2-byte
00d8,"add al, bl",2-byte
00d9,"add cl, bl",2-byte
00da,"add dl, bl",2-byte
00db,"add bl, bl",2-byte
00dc,"add ah, bl",2-byte
00dd,"add ch, bl",2-byte
00de,"add dh, bl",2-byte
00df,"add bh, bl",2-byte
00e0,"add al, ah",2-byte
00e1,"add cl, ah",2-byte
00e2,"add dl, ah",2-byte
00e3,"add bl, ah",2-byte
00e4,"add ah, ah",2-byte
00e5,"add ch, ah",2-byte
00e6,"add dh, ah",2-byte
00e7,"add bh, ah",2-byte
00e8,"add al, ch",2-byte
00e9,"add cl, ch",2-byte
00ea,"add dl, ch",2-byte
00eb,"add bl, ch",2-byte
00ec,"add ah, ch",2-byte
00ed,"add ch, ch",2-byte
00ee,"add dh, ch",2-byte
00ef,"add bh, ch",2-byte
00f0,"add al, dh",2-byte
00f1,"add cl, dh",2-byte
00f2,"add dl, dh",2-byte
00f3,"add bl, dh",2-byte
00f4,"add ah, dh",2-byte
00f5,"add ch, dh",2-byte
00f6,"add dh, dh",2-byte
00f7,"add bh, dh",2-byte
00f8,"add al, bh",2-byte
00f9,"add cl, bh",2-byte
00fa,"add dl, bh",2-byte
00fb,"add bl, bh",2-byte
00fc,"add ah, bh",2-byte
00fd,"add ch, bh",2-byte
00fe,"add dh, bh",2-byte
00ff,"add bh, bh",2-byte
0100,"add dword ptr [rax], eax",2-byte
0101,"add dword ptr [rcx], eax",2-byte
0102,"add dword ptr [rdx], eax",2-byte
0103,"add dword ptr [rbx], eax",2-byte
0106,"add dword ptr [rsi], eax",2-byte
0107,"add dword ptr [rdi], eax",2-byte
0108,"add dword ptr [rax], ecx",2-byte
0109,"add dword ptr [rcx], ecx",2-byte
010a,"add dword ptr [rdx], ecx",2-byte
010b,"add dword ptr [rbx], ecx",2-byte
010e,"add dword ptr [rsi], ecx",2-byte
010f,"add dword ptr [rdi], ecx",2-byte
0110,"add dword ptr [rax], edx",2-byte
0111,"add dword ptr [rcx], edx",2-byte
0112,"add dword ptr [rdx], edx",2-byte
0113,"add dword ptr [rbx], edx",2-byte
0116,"add dword ptr [rsi], edx",2-byte
0117,"add dword ptr [rdi], edx",2-byte
0118,"add dword ptr [rax], ebx",2-byte
0119,"add dword ptr [rcx], ebx",2-byte
011a,"add dword ptr [rdx], ebx",2-byte
011b,"add dword ptr [rbx], ebx",2-byte
011e,"add dword ptr [rsi], ebx",2-byte
011f,"add dword ptr [rdi], ebx",2-byte
0120,"add dword ptr [rax], esp",2-byte
0121,"add dword ptr [rcx], esp",2-byte
0122,"add dword ptr [rdx], esp",2-byte
0123,"add dword ptr [rbx], esp",2-byte
0126,"add dword ptr [rsi], esp",2-byte
0127,"add dword ptr [rdi], esp",2-byte
0128,"add dword ptr [rax], ebp",2-byte
0129,"add dword ptr [rcx], ebp",2-byte
012a,"add dword ptr [rdx], ebp",2-byte
012b,"add dword ptr [rbx], ebp",2-byte
012e,"add dword ptr [rsi], ebp",2-byte
012f,"add dword ptr [rdi], ebp",2-byte
0130,"add dword ptr [rax], esi",2-byte
0131,"add dword ptr [rcx], esi",2-byte
0132,"add dword ptr [rdx], esi",2-byte
0133,"add dword ptr [rbx], esi",2-byte
0136,"add dword ptr [rsi], esi",2-byte
0137,"add dword ptr [rdi], esi",2-byte
0138,"add dword ptr [rax], edi",2-byte
0139,"add dword ptr [rcx], edi",2-byte
013a,"add dword ptr [rdx], edi",2-byte
013b,"add dword ptr [rbx], edi",2-byte
013e,"add dword ptr [rsi], edi",2-byte
013f,"add dword ptr [rdi], edi",2-byte
01c0,"add eax, eax",2-byte
01c1,"add ecx, eax",2-byte
01c2,"add edx, eax",2-byte
01c3,"add ebx, eax",2-byte
01c4,"add esp, eax",2-byte
01c5,"add ebp, eax",2-byte
01c6,"add esi, eax",2-byte
01c7,"add edi, eax",2-byte
01c8,"add eax, ecx",2-byte
01c9,"add ecx, ecx",2-byte
01ca,"add edx, ecx",2-byte
01cb,"add ebx, ecx",2-byte
01cc,"add esp, ecx",2-byte
01cd,"add ebp, ecx",2-byte
01ce,"add esi, ecx",2-byte
01cf,"add edi, ecx",2-byte
01d0,"add eax, edx",2-byte
01d1,"add ecx, edx",2-byte
01d2,"add edx, edx",2-byte
01d3,"add ebx, edx",2-byte
01d4,"add esp, edx",2-byte
01d5,"add ebp, edx",2-byte
01d6,"add esi, edx",2-byte
01d7,"add edi, edx",2-byte
01d8,"add eax, ebx",2-byte
01d9,"add ecx, ebx",2-byte
01da,"add edx, ebx",2-byte
01db,"add ebx, ebx",2-byte
01dc,"add esp, ebx",2-byte
01dd,"add ebp, ebx",2-byte
01de,"add esi, ebx",2-byte
01df,"add edi, ebx",2-byte
01e0,"add eax, esp",2-byte
01e1,"add ecx, esp",2-byte
01e2,"add edx, esp",2-byte
01e3,"add ebx, esp",2-byte
01e4,"add esp, esp",2-byte
01e5,"add ebp, esp",2-byte
